Km
8.3
205.45
0.0541
0.0001
0.037
0.018
0.1317
0.0285
0.194
0.0112
0.02
0.035
0.35
0.36
0.948
39.0
1.18
12.45
0.168
0.12
0.75
0.11
2.41
1.34
0.217
0.15
0.645
0.19
2.22
0.35
1.3
0.09
0.037
0.0558
17.1
30.11
0.623
0.274
0.183
5.9
0.38
0.214
7.09
0.175
0.0065
10.88
0.989
0.29
29.16
31.46
0.12
6.794
0.8246
0.071
0.43
0.127
5.9322
0.06
165.0
0.063
11.61
0.05
0.0025
0.21
8.734
0.101
0.0843
0.147
0.173
0.0003
0.105
0.0262
0.17
19.9
0.087
0.0128
264.1
142.34
0.31
0.015
0.176
223.0
0.147
0.85
26.77
0.729
0.27
0.013
195.48
0.08
191.0
0.0887
226.6
0.1724
0.23
185.18
0.0854
0.011
6.46
0.012
5.47
20.2
1.69
0.0732
54.6
0.23
199.4
430.0
37.1
0.119
0.46
0.16
6.7
359.92
0.45
0.31
0.16
3.31
44.69
19.53
0.0963
1.3
0.17
0.0082
0.139
0.45
0.605
0.213
2.5
132.21
0.037
0.0132
1.6769
0.46
0.113
120.0
0.852
0.03
0.0101
2.0828
0.94
31.265
0.85
0.191
1.09
0.016
0.0054
0.46
116.3
3.13
22.6
479.91
272.78
0.003
0.3
5.28
0.222
0.213
0.7916
0.0015
310.0
13.17
1.958
0.333
41.0
0.094
4.73
16.54
0.0411
0.0006
0.196
1.22
0.11
156.25
53.55
3.26
43.6
0.543
39.1
3.88
0.365
0.0056
0.155
0.0004
0.5304
0.055
4.61
0.22
1.79
56.89
6.72
0.158
0.048
1.024
22.48
189.0
0.4
1.23
92.3
3.43
0.101
0.12
0.8
0.66
2.95
3.182
0.58
0.0856
0.027
0.0089
0.12
0.051
0.088
3.49
0.093
0.0001
0.018
0.076
0.1098
1.52
0.25
40.08
0.63
0.24
0.61
173.51
0.054
1400.0
0.133
458.9
0.34
0.7414
102.4
112.35
0.098
0.221
0.436
0.96
0.049
0.077
11.71
20.38
0.957
135.0
0.0444
3400.0
0.0187
0.0612
0.0132
0.47
0.14
0.045
0.184
0.086
2.79
75.2
0.33
153.6
138.31
0.199
20.492
15.81
0.1037
0.577
0.14
0.45
245.0
0.07
0.012
7.44
0.76
1.14
0.528
0.32
0.59
125.904
0.1646
2.01
103.2
0.0012
0.1
0.311
0.74
0.81
30.0
112.0
25.0
0.24
0.274
0.916
0.2411
34.3
0.053
1.14
0.5
0.155
0.0571
0.926
0.304
0.079
0.232
18.02
20.5
0.7513
0.256
0.103
0.095
1.9
297.0
0.0029
1.98
0.0021
769.0
12.36
186.22
4.41
13.0
0.035
0.86
5.291
180.0
0.958
236.0
0.08
0.242
0.14
14.0
0.86
0.012
0.039
0.52
36.71
7.15
1.9
0.1357
19.6
175.0
490.72
41.75
4.5
35.18
0.086
0.196
196.0
0.59
0.444
0.301
0.6819
76.0
0.377
0.0092
32.7
0.317
0.663
0.153
0.9
0.097
0.19
0.746
0.1369
208.85
0.07
0.0095
3.33
0.0116
0.254
1.87
273.0
320.0
0.269
270.27
0.8
21.54
0.295
0.134
4.38
0.317
0.157
0.543
0.0283
129.0
0.471
167.8
0.36
71.0
64.6
12.0
14.46
90.05
0.087
3.927
0.1337
0.541
0.0661
0.81
1.18
0.155
0.32
0.0052
8.06
452.0
0.048
0.1062
0.34
0.27
0.45
0.025
34.58
1.22
0.0653
0.046
86.425
0.0067
1.08
0.049
0.28
0.236
1.83
5.29
101.4
0.0022
0.24
0.62
0.0072
10.29
0.008
0.0265
1.36
6.9
0.091
0.119
0.69
6.423
0.42
0.11
400.0
0.3
0.296
0.62
10.56
0.511
4.8
0.047
3.8
3.59
0.0589
0.0348
140.56
0.165
0.23
12.6
0.171
0.2
2.907
112.84
1.772
0.42
0.09
10.0
0.091
0.123
0.007
25.71
6.05
0.41
320.0
0.806
3.07
0.0907
0.0554
0.362
0.73
25.0
3.82
0.129
0.251
0.112
0.385
16.3
0.81
0.0486
4.398
0.11
3.66
90.0
0.27
0.485
1.06
0.13
420.6
8.17
0.02
100.0
0.1277
205.6
36.6
1.82
2.448
25.3
1.335
0.3
1.502
0.023
0.218
0.236
0.0992
3.46
1.456
1.42
1.28
1.3
92.0
0.0352
0.197
0.2
0.299
340.0
9.27
0.109
0.252
0.055
0.121
177.24
47.6
0.42
1.207
0.509
0.81
0.308
92.1
0.23
0.051
1.79
0.006
126.73
10.6
0.69
0.2248
172.41
2.5
63.86
0.38
0.427
85.6
18.64
109.5
11.2
0.257
0.008
0.467
0.0378
0.298
0.124
0.22
117.0
8.5
0.53
4.51
156.0
0.0398
0.058
0.49
0.155
0.105
1.158
0.017
0.48
0.04
1.0
295.0
84.07
0.0173
14.0
0.66
0.045
9.0
0.034
28.91
2.2
0.38
144.3
11.3
0.0323
0.205
0.026
208.0
0.29
140.07
0.691
0.19
0.062
111.8
0.441
92.19
0.16
0.0089
0.17
130.0
0.39
0.112
0.0238
180.0
0.549
0.49
0.42
1.2
1.66
0.366
0.227
0.38
0.29
1.047
5.97
0.07
0.28
44.69
3.75
0.025
87.0
0.173
0.0378
0.0499
6.18
15.0
0.2
0.821
36.86
0.201
0.2
0.408
0.0136
1.247
0.55
0.033
0.648
24.7
0.254
0.016
555.56
0.67
0.73
11.41
0.28
2.33
27.5
31.18
1.22
0.0925
0.0154
2.01
0.839
700.0
400.0
0.093
0.0012
0.14
0.068
0.127
75.97
0.134
13.5
4.96
0.81
0.013
390.0
0.79
318.0
94.7
0.51
2.3
0.192
240.0
