Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,XLogP,MaxEStateIndex.1,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,Complexity,Vmax_log
0.0752,0.000255451,1,2.757,1.071,-0.05,6.0,25.0,3,7.0,-3.0,2.0,0.001,100.0,1.176091259,15.0,-2.096910013,0.008,3.438384107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-3.5926923928696337
0.0015,6.98,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,0.001,1.11,1.0,10.0,-3.301029996,0.0005,1.806179974,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,6.5,5.99273862,-0.39829863,0.037337328,-1.987595192,0.0,0.8438554226231612
0.0964,0.353,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,0.001,1.11,1.0,10.0,-3.301029996,0.0005,3.612359948,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,6.5,5.99273862,-0.39829863,0.037337328,-1.987595192,0.0,-0.4522252946121775
0.033,0.73,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,0.045322979,0.001,1.11,1.0,10.0,-3.301029996,0.0005,4.294091292,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,226.0,52.0,40.5,6.5,5.99273862,-0.39829863,0.037337328,-1.987595192,0.0,-0.1366771398795441
0.112,7.15,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.001,24.0,0.176091259,1.5,-3.301029996,0.0005,1.806179974,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,6.5,6.0,-0.254557431,-0.254557431,-1.987595192,0.0,0.8543060418010806
0.543,0.515,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.001,24.0,0.176091259,1.5,-3.301029996,0.0005,3.612359948,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,6.5,6.0,-0.254557431,-0.254557431,-1.987595192,0.0,-0.2881927709588089
0.242,4.94,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.001,24.0,0.176091259,1.5,-3.301029996,0.0005,3.765817515,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,6.5,6.0,-0.254557431,-0.254557431,-1.987595192,0.0,0.693726948923647
0.304,1.76,1,2.71,1.083,-0.179,3.5,37.0,3,7.0,-3.0,1.380211242,0.001,24.0,0.176091259,1.5,-3.301029996,0.0005,4.294091292,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,6.5,6.0,-0.254557431,-0.254557431,-1.987595192,0.0,0.2455126678141498
0.605,5.38e-05,1,2.71,1.083,-0.179,3.5,25.0,3,7.0,-3.0,-0.096910013,0.001,0.8,0.0,0.0,-1.397940009,0.04,2.334453751,192.12,0.2,192.123,0.0,12.84164325,0.0,3.853986625,4.619312135,1.144212963,-2.738425926,0.0,-2.738425926,0.0,-0.481138775,0.0,0.0,226.0,52.0,40.5,-1.7,5.99273862,-0.39829863,0.037337328,-2.178395123,0.0,-4.269217724333611
0.528,2.15e-05,1,2.71,1.083,-0.179,3.5,25.0,3,7.0,-3.0,1.146128036,0.001,14.0,-0.096910013,0.8,-1.397940009,0.04,2.334453751,192.12,0.2,192.123,0.0,12.84164325,0.0,3.853986625,4.619312135,1.144212963,-2.738425926,0.0,-2.738425926,0.0,-0.481138775,0.0,0.0,0.0,40.5,52.0,-1.7,6.0,-0.254557431,-0.254557431,-2.178395123,0.0,-4.667561540084395
