Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,lgCconst,lgCcat,lgvolume,Sufrace,VSA_EState8,BalabanJ,MinAbsEStateIndex,MinEStateIndex,VSA_EState4,MinPartialCharge,XLogP,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,polym,Mcoat_log,MolWt_log,PEOE_VSA7_log,PEOE_VSA8_log,PEOE_VSA9_log,Kappa2_log,EState_VSA6_log,EState_VSA4_log,SMR_VSA7_log,Complexity1_log,Complexity_log,TPSA_log,TPSA1_log,TPSA2_log,MaxEStateIndex.1_log,MaxEStateIndex.2_log
0.0065,1.3763,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,0.176091259,0.176091259,2.0,-4.581698709,1.83835157,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,0.037337328,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,5.420534999272286,0.0,3.6189933266497696,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.0554,0.2643,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,0.176091259,0.176091259,2.0,-4.581698709,3.419637259,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,0.037337328,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,5.420534999272286,0.0,3.6189933266497696,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.0355,8.363,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,1.83835157,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.2277,0.4382,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,3.419637259,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.0173,1.0272,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,-4.581698709,4.167498253,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,0.037337328,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,5.420534999272286,0.0,3.6189933266497696,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.0243,0.6753,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,-4.581698709,4.519515097,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,0.037337328,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,5.420534999272286,0.0,3.6189933266497696,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.0348,0.6468,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.698970004,2.0,1.176091259,-4.581698709,4.965415304,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.39829863,0.037337328,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,5.420534999272286,0.0,3.6189933266497696,3.9512437185814275,3.7013019741124933,1.7905485063083346,1.791759469228055
0.0393,1.2813,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,4.167498253,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.0661,0.9203,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,4.519515097,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
0.1107,1.0422,1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,2.0,-4.581698709,4.965415304,0.2,2.25882859,3.066157801,0.331506779,-0.664233856,0.0,-0.48123039,6.5,-0.254557431,-0.254557431,-1.987595192,1.00000708,5.643572350257175,5.64356526983419,3.468984000452093,1.8595460881737358,0.0,2.7890103265885346,0.0,2.5526932690451676,2.4974970742083396,0.0,0.0,3.6189933266497696,3.7013019741124933,3.9512437185814275,1.791759469228055,1.7905485063083346
