activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,XLogP,MaxEStateIndex.1,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,Complexity,Vmax_log
1,2.24,1.285,0.17,3.8,37.0,3,6.0,-2.0,-1.045757491,0.01,0.09,2.397940009,-0.522878745,0.3,6.960438858,360.31,1.0,360.312,0.0,0.0,0.0,257.9879062,-5.33e-09,0.0,-1.416666667,0.0,0.0,0.0,-2.0,0.0,0.0,226.0,52.0,40.5,141.0,5.99273862,-0.39829863,0.037337328,0.0,18.0,-4.55129368009492
1,2.28,1.555,-0.2988,7.0,25.0,3,7.0,-3.0,0.0,0.001,1.0,-2.0,-1.394350836,0.089334,3.341830057,340000.0,1.0,182.172,0.0,13.21376393,-1.451636432,5.41346133,3.985164451,0.725818216,-1.669305556,0.0,0.0,0.0,-0.393579135,0.0,0.0,0.0,40.5,70.0,-3.1,6.0,-0.254557431,-0.254557431,-2.23679597,105.0,-7.468521082957745
1,2.802,1.084,-0.103,4.0,34.0,1,5.6,-2.0,-0.397940009,0.01,0.4,0.698970004,-1.301029996,0.05,7.677698181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-3.238072161579471
1,2.2508,1.1436,0.825,4.0,55.0,3,7.0,-1.602059991,-0.22184875,0.025,0.6,3.301029996,-1.123957752,0.114,3.765817515,55000.0,0.2,287.268,12.62077651,6.606881965,3.690277778,6.919857351,2.17e-07,0.208333333,-1.417962963,11.09986462,0.0,12.96557803,-0.5050473,12.96557803,24.29722032,226.0,52.0,40.5,59.55767145,5.99273862,-0.39829863,0.037337328,-2.133673375,0.0,-2.6989700043360187
1,2.54,1.51,1.69,4.0,25.0,3,7.0,-3.0,-0.397940009,0.001,0.4,2.477121255,-1.0,0.1,1.341474094,1082.3,1.0,2061.98,114.8413539,31.59433243,2.62305801,64.27726903,4.539543187,0.056865504,-5.572337348,30.33183534,12.21848834,57.78739461,-0.496742377,6.9237372,35.89528683,226.0,52.0,40.5,-7.1,5.99273862,-0.39829863,0.037337328,-2.20398143,4830.0,-4.671620396561262
1,2.23,1.292,-0.14,3.5,25.0,3,6.0,-3.0,1.301029996,0.001,20.0,-0.823908741,-0.301029996,0.5,10.43136376,62.07,0.2,62.068,0.0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0.0,0.0,0.0,-0.393990542,0.0,0.0,0.0,40.5,52.0,-1.4,6.0,-0.254557431,-0.254557431,-1.699066797,0.0,-4.576754126063192
1,2.54,0.865,0.0666,4.0,45.0,3,7.0,-3.0,2.301029996,0.001,200.0,0.0,-0.602059991,0.25,7.869747871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-3.971022294791222
1,2.336,1.096,1.445,4.5,37.0,1,7.0,-1.0,-0.522878745,0.1,0.3,2.0,-0.691564428,0.2456,3.096910013,70000.0,1.0,746.778,30.53782887,39.19013779,6.449143178,27.93580271,-6.18e-07,0.0,-4.31210034,6.076020107,0.78,0.0,-1.0,10.04648235,47.92618519,226.0,52.0,40.5,63.3,5.99273862,-0.39829863,0.037337328,0.0,247.0,-4.505845405981558
1,2.757,1.071,-0.05,4.0,37.0,3,7.0,-0.301029996,1.397940009,0.5,25.0,2.0,-4.581698709,2.62e-05,4.965415304,282.47,0.2,282.468,32.10410811,0.0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,12.84164325,12.15204021,0.0,40.5,52.0,6.5,6.0,-0.254557431,-0.254557431,-1.987595192,0.0,0.0179510688307422
1,2.6654,1.2284,0.279,4.0,35.0,1,7.0,-1.0,0.079181246,0.1,1.2,-1.22184875,-0.602059991,0.25,5.917337431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-3.7728849174108734
1,2.676,1.067,-0.349,4.0,45.0,3,7.0,0.0,1.301029996,1.0,20.0,-0.397940009,-1.397940009,0.04,7.027268042,20000.0,0.2,44.053,0.0,13.21376393,2.0,0.206165084,2.25,1.0,1.0,0.0,0.0,0.0,-0.376667636,13.21376393,0.0,0.0,40.5,52.0,-0.1,6.0,-0.254557431,-0.254557431,-1.241764757,0.0,-3.8709549401120418
1,2.28,1.555,0.1364,7.0,25.0,3,7.0,-3.0,-1.0,0.001,0.1,-0.301029996,-1.797252069,0.047828,3.341830057,340000.0,1.0,182.172,0.0,13.21376393,-1.451636432,5.41346133,3.985164451,0.725818216,-1.669305556,0.0,0.0,0.0,-0.393579135,0.0,0.0,335.0,70.0,40.5,-3.1,0.0,0.0,0.0,-2.23679597,105.0,-5.903089986991944
1,2.44,1.397,-0.024,4.0,25.0,3,6.0,0.0,1.0,1.0,10.0,1.0,-1.48148606,0.033,7.773193821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-3.863279432843593
1,2.6236,1.3148,0.619,4.0,40.0,2,5.8,-2.0,1.0,0.01,10.0,0.698970004,-1.568636236,0.027,5.602059991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.370590400897281
1,2.28,1.35,1.2,4.0,22.0,3,7.0,-1.301029996,-0.22184875,0.05,0.6,3.301029996,-1.384163751,0.076,2.58996858,55000.0,0.2,173.212,12.62077651,13.21376393,4.11162037,6.816487957,2.61e-07,0.125,-0.125,11.09986462,0.0,12.96557803,-0.393990542,12.96557803,12.77889057,226.0,52.0,40.5,60.8,5.99273862,-0.39829863,0.037337328,-2.048432766,0.0,-3.4814860601221125
2,1.9,0.91,0.52,8.0,37.0,3,6.8,-1.0,0.477121255,0.1,3.0,0.0,0.0,1.0,7.806179974,181.15,1.0,181.147,18.19910121,11.12690298,0.0,3.139132041,3.202105438,0.025462963,-1.171815949,0.0,5.149166667,5.687386275,-0.477638324,6.066367068,29.32600419,221.8,54.98,50.38,-1.6,0.0,0.0,0.0,-2.00429012,228.0,-3.1191864077192086
1,2.33,0.928,-0.012,4.0,25.0,1,5.0,-3.0,0.698970004,0.001,5.0,-0.602059991,-1.301029996,0.05,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-3.320572103387881
1,2.863,1.079,0.0536,4.0,60.0,3,7.0,-1.823908741,-0.301029996,0.015,0.5,0.301029996,-0.698970004,0.2,11.22108807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-4.224753740259764
2,2.882,1.111,0.0032,4.5,50.0,3,7.0,-0.15490196,0.113943352,0.7,1.3,0.0,-1.698970004,0.02,9.628545044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,52.0,47.4,0.0,5.394814815,-0.397062581,0.054727625,0.0,0.0,-2.285670240254767
2,2.724,1.073,-0.054,4.0,25.0,3,7.0,-2.0,-1.0,0.01,0.1,0.0,-2.0,0.01,5.334453751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.218963061378868
1,2.667,1.177,-0.29,4.0,45.0,3,7.0,-3.0,0.698970004,0.001,5.0,1.698970004,-0.22184875,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-5.162411561764489
1,2.771,1.299,-0.166,4.5,30.0,3,7.0,-0.543633967,2.0,0.286,100.0,-0.301029996,-1.522878745,0.03,7.668907502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-4.006563769502388
2,2.81,1.063,0.016,4.0,25.0,1,4.0,-0.397940009,0.397940009,0.4,2.5,0.0,-0.903089987,0.125,7.091833962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-1.7746907182741372
1,2.205,1.344,0.036,4.0,25.0,3,4.0,-1.0,-0.096910013,0.1,0.8,0.0,-0.698970004,0.2,2.62518379,43.264,0.2,111.144,12.62077651,0.0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0.0,12.96557803,-0.319671229,12.96557803,12.77889057,226.0,52.0,40.5,0.4,5.99273862,-0.39829863,0.037337328,-2.048432761,0.0,-3.281498311132726
1,2.6052,1.1898,-0.1226,4.0,25.0,3,7.0,-3.0,-0.096910013,0.001,0.8,3.0,-2.0,0.01,4.294091292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-3.764471553092451
1,2.81,1.063,0.016,4.0,35.0,3,3.0,-0.602059991,0.602059991,0.25,4.0,-0.769551079,-2.431798276,0.0037,1.959637541,66500.0,1.0,203.434,39.28206812,0.0,15.13634259,3.742918213,4.226502749,0.882716049,-1.428626543,0.0,0.0,6.9237372,-0.535385563,5.897745344,0.0,0.0,40.5,52.0,21.6,6.0,-0.254557431,-0.254557431,-2.205048427,177.0,-4.243363891754152
